Semaine;Chamonix (FR);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-07-07;43,00;8,00;4,00;7,00;1,00;4,00;1,00;11,00;16,00;0,00;1,00;9,00;2,00;29,37;1,05;11,54;14,68;0,00;6,00;2,00;1,00;2,00;3,00;0,00;11,00;6,00;3,00;5,00;0,00;1,00;0,00;1,00;1,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-07-14;43,00;14,00;7,00;7,00;2,00;5,00;1,00;10,00;21,00;1,00;2,00;8,00;3,00;31,74;1,02;12,29;8,19;0,00;3,00;3,00;0,00;1,00;7,00;1,00;8,00;6,00;3,00;6,00;1,00;3,00;0,00;0,00;1,00;2,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-07-21;38,00;21,00;5,00;8,00;3,00;4,00;3,00;12,00;18,00;1,00;2,00;7,00;3,00;24,65;1,03;15,41;7,19;0,00;3,00;6,00;0,00;3,00;2,00;6,00;4,00;8,00;3,00;7,00;0,00;2,00;0,00;0,00;1,00;3,00;1,00;2,00;1,00;0,00;1,00;0,00
2019-07-28;46,00;10,00;6,00;9,00;4,00;6,00;1,00;5,00;19,00;0,00;1,00;12,00;1,00;36,59;2,09;13,59;9,41;1,00;4,00;4,00;0,00;1,00;2,00;1,00;12,00;7,00;5,00;6,00;0,00;2,00;1,00;1,00;1,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;43,00;12,00;7,00;6,00;1,00;6,00;5,00;14,00;16,00;2,00;3,00;7,00;2,00;43,00;1,05;15,73;11,54;0,00;2,00;2,00;0,00;1,00;4,00;1,00;10,00;6,00;2,00;2,00;0,00;1,00;3,00;1,00;0,00;2,00;1,00;1,00;0,00;1,00;0,00;0,00
2019-08-11;41,00;13,00;6,00;6,00;2,00;4,00;2,00;15,00;16,00;2,00;3,00;11,00;1,00;30,49;3,15;17,87;9,46;0,00;3,00;7,00;0,00;6,00;4,00;1,00;12,00;6,00;2,00;6,00;0,00;1,00;2,00;1,00;0,00;2,00;1,00;2,00;0,00;0,00;0,00;0,00
2019-08-18;44,00;14,00;8,00;5,00;2,00;8,00;1,00;8,00;15,00;1,00;4,00;13,00;3,00;31,43;2,10;15,71;9,43;0,00;6,00;2,00;1,00;3,00;5,00;0,00;9,00;6,00;1,00;6,00;0,00;2,00;1,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-08-25;41,00;13,00;9,00;11,00;1,00;2,00;1,00;9,00;13,00;1,00;2,00;8,00;1,00;23,13;1,05;10,51;11,56;1,00;3,00;2,00;1,00;1,00;2,00;0,00;11,00;6,00;2,00;4,00;0,00;1,00;0,00;1,00;0,00;4,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-09-01;46,00;10,00;7,00;13,00;3,00;8,00;4,00;12,00;18,00;3,00;2,00;10,00;4,00;40,77;1,05;27,18;11,50;1,00;4,00;2,00;1,00;1,00;2,00;0,00;13,00;8,00;5,00;5,00;0,00;2,00;4,00;0,00;0,00;2,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-09-08;42,00;18,00;15,00;11,00;4,00;9,00;6,00;12,00;13,00;1,00;4,00;12,00;2,00;26,25;2,10;15,75;10,50;1,00;7,00;2,00;2,00;7,00;6,00;1,00;12,00;9,00;4,00;4,00;1,00;4,00;4,00;1,00;1,00;2,00;1,00;0,00;1,00;1,00;1,00;1,00
2019-09-15;42,00;25,00;9,00;15,00;6,00;7,00;4,00;16,00;18,00;1,00;5,00;10,00;5,00;31,50;1,05;11,55;8,40;1,00;4,00;2,00;0,00;2,00;5,00;0,00;9,00;9,00;6,00;5,00;0,00;2,00;4,00;1,00;1,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00
