Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-08-04;93,00;0,00;0,00;17,00;0,00;17,00;0,00;17,00;0,00;0,00;0,00;9,07;43,10;0,00;0,00;8,00;17,00;0,00;0,00;84,14;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;79,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;45,14;60,94;0,00;0,00;0,00;9,00;8,78;0,00;87,78;8,78;0,00;0,00;9,00;0,00;9,00;0,00;0,00;9,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00
2019-08-18;66,00;0,00;0,00;8,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;34,14;0,00;0,00;8,00;16,00;0,00;8,80;107,80;0,00;0,00;8,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
2019-08-25;83,00;0,00;0,00;0,00;15,00;0,00;0,00;8,00;0,00;0,00;0,00;15,70;38,14;8,00;0,00;15,00;8,00;0,00;0,00;114,41;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;15,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;21,00;7,00;0,00;14,00;0,00;7,00;0,00;7,00;0,00;7,00;0,00;0,00;21,00;7,00;0,00;0,00;0,00;0,00;0,00;81,67;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;44,00;0,00;22,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;6,60;15,40;7,00;7,00;0,00;15,00;0,00;6,60;50,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;22,00;0,00;0,00;22,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;6,60;41,80;0,00;0,00;7,00;7,00;6,60;0,00;41,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;36,00;7,00;0,00;7,00;14,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;29,25;0,00;0,00;7,00;7,00;0,00;0,00;94,50;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;29,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,31;0,00;0,00;0,00;0,00;6,69;0,00;22,31;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,15;0,00;0,00;0,00;15,00;16,15;0,00;39,23;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
