Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-07-07;69,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;12,00;32,00;0,00;28,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;92,00;0,00;0,00;0,00;8,46;4,00;0,00;4,00;0,00;4,00;0,00;9,00;0,00;9,00;4,00;9,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;70,00;19,09;0,00;0,00;4,24;14,00;0,00;0,00;0,00;0,00;5,00;9,00;0,00;5,00;5,00;5,00;5,00;14,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;9,00;5,00;5,00;9,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;100,00;0,00;0,00;0,00;9,47;10,00;0,00;5,00;0,00;10,00;0,00;33,00;0,00;10,00;0,00;14,00;14,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00
2019-08-04;57,00;8,44;4,22;12,67;12,67;0,00;0,00;4,00;4,00;4,00;0,00;9,00;0,00;9,00;9,00;17,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;52,00;0,00;8,49;0,00;4,24;4,00;0,00;4,00;0,00;8,00;0,00;20,00;4,00;4,00;8,00;8,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;20,00;16,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;42,00;0,00;0,00;0,00;11,55;4,00;0,00;0,00;0,00;4,00;0,00;19,00;0,00;0,00;19,00;12,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;58,00;0,00;4,22;0,00;7,38;4,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;8,00;4,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;44,00;0,00;0,00;3,14;7,33;0,00;4,00;0,00;0,00;11,00;4,00;11,00;4,00;4,00;4,00;7,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;65,00;0,00;0,00;0,00;11,53;0,00;0,00;0,00;0,00;0,00;4,00;12,00;0,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
