Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2020-01-26;15,00;47,50;25,00;30,00;195,00;33,00;25,00;22,00;9,00
2020-02-02;14,00;50,40;30,80;33,60;224,00;31,00;25,00;23,00;9,00
2020-02-09;16,00;37,33;37,33;32,00;229,33;34,00;26,00;25,00;10,00
2020-02-16;17,00;38,86;31,57;31,57;204,00;34,00;26,00;25,00;11,00
2020-02-23;14,00;28,00;21,00;23,33;179,67;28,00;24,00;25,00;11,00
2020-03-01;13,00;39,00;36,40;26,00;176,80;24,00;20,00;24,00;10,00
2020-03-08;10,00;30,00;22,50;20,00;152,50;18,00;21,00;19,00;11,00
2020-03-15;7,00;18,67;18,67;11,67;95,67;14,00;11,00;12,00;9,00
2020-03-22;6,00;21,00;15,00;9,00;69,00;12,00;6,00;7,00;6,00
2020-03-29;7,00;11,67;16,33;7,00;51,33;12,00;7,00;6,00;5,00
2020-04-05;5,00;10,00;7,50;10,00;50,00;11,00;5,00;7,00;5,00
2020-04-12;4,00;16,00;20,00;16,00;76,00;12,00;8,00;8,00;5,00
2020-04-19;3,00;12,00;3,00;9,00;54,00;11,00;7,00;6,00;4,00
2020-04-26;3,00;18,00;9,00;9,00;60,00;9,00;5,00;6,00;3,00
2020-05-03;4,00;6,00;4,00;6,00;42,00;10,00;6,00;8,00;4,00
2020-05-10;4,00;12,00;16,00;12,00;116,00;11,00;7,00;7,00;4,00
2020-05-17;4,00;8,00;8,00;12,00;128,00;9,00;4,00;7,00;4,00
2020-05-24;4,00;10,00;8,00;4,00;78,00;10,00;6,00;7,00;4,00
2020-05-31;7,00;11,67;9,33;7,00;105,00;10,00;9,00;7,00;4,00
2020-06-07;8,00;16,00;10,67;10,67;122,67;10,00;9,00;8,00;4,00
2020-06-14;6,00;24,00;21,00;12,00;153,00;10,00;8,00;10,00;4,00
2020-06-21;6,00;27,00;21,00;9,00;159,00;10,00;11,00;10,00;5,00
2020-06-28;9,00;24,75;15,75;9,00;135,00;14,00;18,00;11,00;4,00
2020-07-05;10,00;30,00;17,50;10,00;157,50;14,00;20,00;13,00;4,00
2020-07-12;11,00;41,25;22,00;11,00;178,75;11,00;24,00;13,00;4,00
2020-07-19;11,00;27,50;13,75;13,75;176,00;13,00;19,00;14,00;5,00
2020-07-26;9,00;20,25;20,25;9,00;135,00;14,00;19,00;13,00;5,00
2020-08-02;10,00;27,50;25,00;12,50;170,00;12,00;18,00;14,00;5,00
2020-08-09;8,00;29,33;18,67;13,33;173,33;16,00;19,00;11,00;5,00
2020-08-16;9,00;20,25;18,00;13,50;123,75;11,00;10,00;9,00;5,00
2020-08-23;9,00;18,00;18,00;13,50;119,25;14,00;9,00;8,00;4,00
2020-08-30;5,00;17,50;17,50;10,00;132,50;13,00;5,00;7,00;4,00
2020-09-06;5,00;17,50;12,50;12,50;125,00;13,00;10,00;8,00;4,00
2020-09-13;6,00;24,00;15,00;15,00;171,00;12,00;9,00;7,00;4,00
2020-09-20;5,00;17,50;15,00;10,00;120,00;19,00;10,00;8,00;4,00
2020-09-27;5,00;10,00;5,00;12,50;112,50;15,00;9,00;6,00;4,00
2020-10-04;5,00;17,50;12,50;12,50;112,50;15,00;8,00;8,00;6,00
2020-10-11;5,00;10,00;10,00;10,00;117,50;13,00;6,00;9,00;5,00
2020-10-18;4,00;10,00;10,00;10,00;92,00;10,00;8,00;6,00;4,00
2020-10-25;4,00;10,00;6,00;6,00;76,00;17,00;6,00;4,00;4,00
2020-11-01;3,00;12,00;12,00;15,00;63,00;46,00;5,00;7,00;3,00
2020-11-08;4,00;8,00;8,00;8,00;46,00;13,00;7,00;8,00;4,00
2020-11-15;3,00;15,00;9,00;9,00;69,00;9,00;6,00;8,00;4,00
2020-11-22;3,00;15,00;15,00;9,00;84,00;11,00;4,00;7,00;4,00
2020-11-29;3,00;12,00;12,00;9,00;93,00;10,00;3,00;7,00;4,00
2020-12-06;5,00;15,00;5,00;7,50;82,50;15,00;5,00;6,00;4,00
2020-12-13;4,00;10,00;8,00;6,00;74,00;8,00;5,00;6,00;4,00
2020-12-20;4,00;40,00;24,00;12,00;200,00;10,00;6,00;6,00;4,00
2020-12-27;5,00;15,00;15,00;10,00;107,50;14,00;6,00;6,00;4,00
2021-01-03;4,00;8,00;10,00;6,00;78,00;11,00;5,00;8,00;4,00
2021-01-10;4,00;18,00;8,00;6,00;78,00;13,00;5,00;6,00;4,00
2021-01-17;4,00;20,00;24,00;12,00;140,00;12,00;7,00;7,00;4,00
2021-01-24;5,00;12,50;7,50;7,50;75,00;12,00;5,00;4,00;4,00
2021-01-31;4,00;20,00;8,00;12,00;128,00;8,00;4,00;4,00;4,00
2021-02-07;4,00;10,00;8,00;6,00;80,00;9,00;4,00;4,00;4,00
2021-02-14;3,00;9,00;15,00;12,00;126,00;7,00;7,00;6,00;5,00
2021-02-21;4,00;6,00;6,00;6,00;80,00;9,00;3,00;6,00;4,00
2021-02-28;4,00;10,00;6,00;6,00;74,00;7,00;6,00;5,00;4,00
2021-03-07;5,00;17,50;12,50;12,50;117,50;11,00;8,00;6,00;5,00
2021-03-14;5,00;10,00;12,50;10,00;92,50;10,00;5,00;7,00;4,00
2021-03-21;3,00;9,00;15,00;12,00;87,00;10,00;6,00;4,00;5,00
2021-03-28;3,00;9,00;6,00;6,00;108,00;9,00;6,00;4,00;5,00
2021-04-04;4,00;10,00;6,00;6,00;84,00;10,00;5,00;4,00;5,00
2021-04-11;4,00;8,00;8,00;12,00;124,00;11,00;6,00;4,00;6,00
2021-04-18;3,00;12,00;6,00;6,00;105,00;9,00;4,00;4,00;5,00
2021-04-25;4,00;24,00;16,00;12,00;148,00;11,00;6,00;4,00;5,00
2021-05-02;4,00;20,00;16,00;16,00;176,00;11,00;8,00;3,00;5,00
2021-05-09;4,00;12,00;10,00;6,00;90,00;10,00;11,00;5,00;6,00
2021-05-16;5,00;17,50;20,00;12,50;122,50;14,00;8,00;4,00;5,00
2021-05-23;6,00;24,00;15,00;15,00;162,00;11,00;12,00;6,00;5,00
2021-05-30;6,00;30,00;21,00;15,00;171,00;18,00;13,00;6,00;6,00
2021-06-06;7,00;21,00;11,67;11,67;144,67;16,00;11,00;3,00;7,00
2021-06-13;8,00;24,00;16,00;16,00;176,00;16,00;18,00;5,00;6,00
2021-06-20;12,00;24,00;21,60;14,40;163,20;18,00;19,00;5,00;6,00
2021-06-27;13,00;23,40;15,60;15,60;169,00;15,00;19,00;6,00;7,00
2021-07-04;13,00;41,60;26,00;15,60;184,60;16,00;19,00;6,00;7,00
2021-07-11;12,00;28,80;19,20;14,40;153,60;16,00;24,00;8,00;7,00
2021-07-18;13,00;41,60;28,60;15,60;176,80;15,00;22,00;6,00;6,00
2021-07-25;11,00;38,50;24,75;16,50;173,25;14,00;26,00;6,00;6,00
2021-08-01;13,00;41,60;20,80;20,80;182,00;16,00;33,00;9,00;5,00
2021-08-08;15,00;55,00;27,50;32,50;245,00;27,00;37,00;10,00;7,00
2021-08-15;12,00;38,40;21,60;26,40;165,60;21,00;27,00;9,00;5,00
2021-08-22;13,00;44,20;15,60;26,00;184,60;28,00;21,00;10,00;6,00
2021-08-29;10,00;37,50;30,00;27,50;172,50;25,00;25,00;11,00;6,00
2021-09-05;12,00;28,80;31,20;28,80;158,40;27,00;27,00;11,00;7,00
2021-09-12;18,00;36,00;28,29;30,86;162,00;29,00;31,00;10,00;6,00
2021-09-19;20,00;40,00;32,50;30,00;172,50;30,00;34,00;10,00;7,00
2021-09-26;20,00;47,50;42,50;32,50;170,00;38,00;34,00;12,00;8,00
2021-10-03;15,00;35,00;30,00;22,50;147,50;31,00;39,00;14,00;6,00
2021-10-10;13,00;46,80;33,80;26,00;153,40;28,00;45,00;15,00;6,00
2021-10-17;13,00;41,60;46,80;26,00;169,00;30,00;51,00;14,00;6,00
2021-10-24;12,00;48,00;26,40;24,00;158,40;29,00;43,00;14,00;6,00
2021-10-31;11,00;55,00;41,25;33,00;173,25;96,00;33,00;17,00;5,00
2021-11-07;10,00;45,00;30,00;22,50;147,50;41,00;30,00;15,00;6,00
2021-11-14;9,00;45,00;27,00;24,00;156,00;31,00;27,00;13,00;6,00
2021-11-21;8,00;37,33;21,33;21,33;130,67;25,00;32,00;12,00;5,00
2021-11-28;8,00;26,67;21,33;26,67;130,67;27,00;28,00;10,00;5,00
2021-12-05;8,00;37,33;16,00;18,67;133,33;26,00;31,00;9,00;5,00
2021-12-12;8,00;40,00;18,67;18,67;136,00;34,00;40,00;8,00;5,00
