Semaine;Chamonix (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-09-22;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;4,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;13,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;29,00;4,00;21,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;50,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;12,00;4,00;0,00;4,00;21,00;8,00;4,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;38,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;17,00;12,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;13,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;4,00;0,00;4,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;27,00;0,00;0,00;4,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;13,00;4,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;25,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;4,00;0,00;8,00;17,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;46,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;4,00;0,00;8,00;0,00;8,00;0,00;21,00;8,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;38,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;12,00;4,00;4,00;4,00;4,00;0,00;17,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;40,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;4,00;0,00;0,00;24,00;12,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;50,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;4,00;0,00;4,00;0,00;8,00;4,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;42,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;25,00;4,00;12,00;0,00;4,00;0,00;13,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;73,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;17,00;8,00;0,00;0,00;30,00;8,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;61,00;0,00;5,00;9,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;23,00;28,00;9,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;63,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;9,00;0,00;0,00;9,00;9,00;22,00;4,00;22,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;58,00;0,00;0,00;8,00;0,00;0,00;4,00;4,00;8,00;0,00;0,00;29,00;0,00;4,00;0,00;0,00;0,00;33,00;24,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-01-12;59,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;27,00;35,00;8,00;12,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-01-19;49,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;24,00;8,00;8,00;0,00;4,00;4,00;32,00;4,00;12,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;64,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;28,00;0,00;16,00;4,00;8,00;0,00;24,00;8,00;16,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;73,00;0,00;8,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;20,00;8,00;8,00;0,00;4,00;0,00;48,00;32,00;16,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;90,00;0,00;4,00;12,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;41,00;0,00;12,00;0,00;0,00;8,00;20,00;16,00;12,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;73,00;0,00;0,00;8,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;32,00;0,00;4,00;0,00;0,00;4,00;72,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;55,00;0,00;0,00;16,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;35,00;8,00;0,00;0,00;12,00;0,00;31,00;8,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;90,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;16,00;4,00;12,00;0,00;4,00;0,00;23,00;23,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;80,00;0,00;7,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;19,00;4,00;7,00;4,00;7,00;0,00;45,00;11,00;7,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;30,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;4,00;0,00;19,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;11,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;7,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;7,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;7,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;22,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;11,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;20,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-19;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;13,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-02;39,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;9,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-08-09;13,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-16;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;0,00;4,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
