Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-12-22;85,00;18,38;4,59;20,68;2,30;0,00;0,00;2,00;2,00;0,00;16,00;8,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;61,00;13,56;2,26;11,30;6,78;0,00;0,00;4,00;5,00;2,00;7,00;7,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;85,00;13,78;4,59;4,59;2,30;0,00;0,00;7,00;5,00;2,00;5,00;7,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;2,00;0,00
2020-01-12;60,00;9,23;9,23;11,54;0,00;0,00;0,00;0,00;2,00;2,00;12,00;8,00;2,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;2,00
2020-01-19;67,00;13,86;4,62;13,86;4,62;0,00;0,00;0,00;3,00;3,00;10,00;3,00;2,00;2,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;80,00;13,71;4,57;9,14;2,29;0,00;0,00;2,00;0,00;0,00;9,00;12,00;3,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;65,00;13,45;2,24;13,45;2,24;2,00;0,00;0,00;0,00;0,00;17,00;17,00;0,00;0,00;0,00;2,00;3,00;0,00;0,00;0,00;2,00
2020-02-09;53,00;6,91;2,30;16,13;0,00;0,00;0,00;0,00;0,00;0,00;12,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;2,00
2020-02-16;82,00;13,67;2,28;20,50;6,83;0,00;0,00;2,00;2,00;2,00;15,00;10,00;0,00;0,00;2,00;5,00;0,00;0,00;0,00;0,00;2,00
2020-02-23;47,00;7,05;0,00;18,80;2,35;5,00;0,00;5,00;0,00;5,00;19,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
