Semaine;Nice (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2022-01-16;24,00;2,00;2,00;2,00;2,00;2,00;0,00;0,00;0,00
2022-01-23;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-01-30;33,00;2,00;0,00;4,00;2,00;4,00;2,00;0,00;0,00
2022-02-06;36,00;4,00;4,00;2,00;2,00;2,00;2,00;0,00;0,00
2022-02-13;49,00;2,00;0,00;0,00;0,00;7,00;5,00;0,00;0,00
2022-02-20;47,00;4,00;0,00;2,00;2,00;0,00;4,00;0,00;2,00
2022-02-27;36,00;6,00;2,00;4,00;0,00;2,00;2,00;4,00;0,00
2022-03-06;18,00;4,00;2,00;2,00;2,00;2,00;0,00;0,00;0,00
2022-03-13;48,00;2,00;6,00;6,00;4,00;2,00;0,00;4,00;0,00
2022-03-20;51,00;9,00;2,00;4,00;2,00;2,00;0,00;0,00;0,00
2022-03-27;39,00;6,00;6,00;4,00;2,00;6,00;0,00;8,00;0,00
2022-04-03;48,00;10,00;2,00;10,00;2,00;8,00;2,00;2,00;2,00
2022-04-10;54,00;7,00;2,00;7,00;2,00;7,00;0,00;2,00;0,00
2022-04-17;50,00;9,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00
2022-04-24;61,00;9,00;0,00;7,00;5,00;7,00;0,00;2,00;0,00
2022-05-01;55,00;6,00;2,00;2,00;0,00;11,00;0,00;0,00;0,00
2022-05-08;41,00;4,00;4,00;7,00;2,00;4,00;2,00;2,00;0,00
2022-05-15;57,00;6,00;0,00;2,00;2,00;0,00;6,00;0,00;2,00
2022-05-22;50,00;9,00;2,00;2,00;2,00;11,00;2,00;2,00;2,00
2022-05-29;42,00;4,00;0,00;2,00;5,00;0,00;2,00;2,00;0,00
2022-06-05;53,00;4,00;4,00;2,00;2,00;4,00;0,00;4,00;2,00
2022-06-12;53,00;9,00;4,00;2,00;2,00;13,00;0,00;4,00;2,00
2022-06-19;43,00;9,00;9,00;0,00;0,00;0,00;2,00;0,00;0,00
2022-06-26;43,00;6,00;8,00;19,00;3,00;3,00;0,00;0,00;0,00
