Semaine;Chamonix (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-01-12;69,00;0,00;0,00;0,00;0,00;50,18;50,18;40,77;50,18;28,85;0,00;97,85;10,04;10,00;0,00;48,00;0,00;0,00;38,00;0,00;0,00;0,00;10,00;10,00;10,00;0,00;0,00;0,00
2020-01-19;41,00;0,00;0,00;0,00;0,00;116,69;116,69;50,46;157,69;9,94;0,00;41,00;9,94;0,00;10,00;50,00;0,00;0,00;10,00;10,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00
2020-01-26;71,00;0,00;0,00;0,00;0,00;185,22;111,13;71,00;49,39;29,89;0,00;80,96;9,96;0,00;0,00;10,00;0,00;10,00;10,00;20,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;51,00;0,00;0,00;0,00;0,00;264,00;99,00;0,00;60,00;51,00;9,95;102,00;19,90;0,00;0,00;81,00;0,00;0,00;20,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;43,00;0,00;0,00;0,00;0,00;129,00;64,50;0,00;64,50;11,06;9,83;73,71;9,83;0,00;0,00;74,00;11,00;11,00;11,00;0,00;11,00;0,00;11,00;0,00;32,00;0,00;0,00;0,00
2020-02-16;51,00;0,00;0,00;0,00;0,00;111,00;51,00;9,00;30,00;0,00;0,00;9,95;0,00;0,00;10,00;60,00;0,00;20,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;79,00;0,00;0,00;10,00;0,00;48,62;66,85;9,12;9,12;0,00;10,03;30,10;0,00;0,00;0,00;29,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;80,00;0,00;0,00;0,00;0,00;21,54;58,46;0,00;49,23;0,00;0,00;10,00;0,00;0,00;20,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00
2020-03-08;58,00;0,00;0,00;0,00;0,00;97,68;27,47;0,00;36,63;9,87;18,51;9,87;0,00;0,00;0,00;9,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;19,00;0,00;0,00;0,00;0,00;19,00;28,50;0,00;9,50;9,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;19,00;0,00;0,00;0,00;0,00;60,17;9,50;0,00;28,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;9,00;0,00;0,00;0,00;0,00;18,00;9,00;9,00;27,00;9,00;0,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;21,00;0,00;0,00;0,00;0,00;9,00;21,00;0,00;0,00;0,00;0,00;9,88;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;10,00;9,00;0,00;0,00;0,00;0,00;30,00;10,00;10,00;10,00;0,00;10,00;10,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;0,00;0,00;0,00;0,00;0,00;6,00;10,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;9,00;0,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00
