Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-02-09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;15,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;0,00;0,00;0,00;33,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;42,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;20,00;0,00;0,00
2020-03-01;32,00;0,00;0,00;0,00;0,00;0,00;0,00;245,33;0,00;0,00;0,00;0,00;32,00;0,00;64,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;62,00;0,00;31,00;0,00;0,00;0,00;0,00;62,00;0,00;0,00;0,00;0,00;0,00;95,38;128,77;33,38;0,00;0,00;0,00;0,00;31,79
2020-03-15;31,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;13,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;0,00;0,00;29,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;0,00;0,00;0,00;0,00;33,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;21,00;0,00;0,00
2020-04-12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
