Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-11-03;38,00;6,00;13,00;0,00;0,00;0,00;0,00;52,00;0,00;6,00;0,00;6,00;0,00;0,00;13,03;45,60;0,00;0,00;6,00;0,00;0,00
2019-11-10;32,00;19,00;13,00;6,00;0,00;0,00;13,00;59,00;0,00;0,00;0,00;0,00;0,00;0,00;18,76;26,48;18,76;6,00;0,00;0,00;0,00
2019-11-17;13,00;6,00;13,00;0,00;0,00;0,00;0,00;39,00;0,00;6,00;0,00;0,00;6,00;0,00;6,50;45,50;0,00;0,00;6,00;0,00;0,00
2019-11-24;50,00;19,00;6,00;6,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;6,52;31,52;11,96;0,00;6,00;6,00;0,00
2019-12-01;13,00;6,00;13,00;0,00;0,00;0,00;0,00;52,00;0,00;0,00;0,00;0,00;6,00;13,00;13,00;39,00;6,50;6,00;6,00;0,00;0,00
2019-12-08;13,00;13,00;0,00;0,00;0,00;0,00;0,00;14,00;20,00;0,00;0,00;7,00;0,00;0,00;0,00;59,58;19,50;0,00;0,00;7,00;0,00
2019-12-15;34,00;14,00;13,00;0,00;7,00;7,00;0,00;56,00;0,00;0,00;0,00;0,00;0,00;0,00;6,58;35,10;0,00;0,00;0,00;0,00;0,00
2019-12-22;22,00;0,00;37,00;0,00;0,00;7,00;0,00;23,00;7,00;15,00;0,00;7,00;7,00;0,00;29,70;83,60;0,00;0,00;0,00;0,00;0,00
2019-12-29;14,00;0,00;14,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;7,00;14,00;14,00;15,17;15,17;0,00;0,00;0,00;7,00;0,00
2020-01-05;39,00;6,00;13,00;6,00;0,00;0,00;0,00;59,00;13,00;13,00;0,00;0,00;0,00;0,00;26,74;53,49;13,37;0,00;6,00;0,00;13,00
2020-01-12;87,00;31,00;6,00;0,00;0,00;0,00;0,00;38,00;0,00;6,00;0,00;6,00;12,00;0,00;37,92;58,00;12,27;0,00;6,00;6,00;6,00
2020-01-19;19,00;6,00;6,00;0,00;0,00;0,00;0,00;46,00;0,00;6,00;0,00;6,00;6,00;6,71;25,71;59,24;12,29;0,00;0,00;0,00;0,00
2020-01-26;38,00;6,00;0,00;0,00;0,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;6,00;0,00;6,51;44,51;0,00;0,00;0,00;6,00;0,00
2020-02-02;26,00;6,00;13,00;6,00;0,00;6,00;6,00;33,00;0,00;13,00;0,00;0,00;0,00;6,78;0,00;54,26;6,78;0,00;6,00;0,00;6,00
2020-02-09;51,00;19,00;6,00;6,00;0,00;0,00;6,00;26,00;0,00;6,00;0,00;13,00;6,00;0,00;13,30;85,37;0,00;0,00;0,00;0,00;13,00
2020-02-16;25,00;0,00;19,00;0,00;0,00;0,00;6,00;52,00;0,00;0,00;0,00;0,00;0,00;0,00;18,48;70,65;0,00;0,00;0,00;0,00;13,00
2020-02-23;18,00;12,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;12,00;6,00;0,00;31,50;63,00;0,00;0,00;0,00;0,00;6,00
2020-03-01;48,00;12,00;6,00;6,00;12,00;0,00;0,00;37,00;0,00;0,00;0,00;0,00;0,00;5,45;6,55;25,09;0,00;0,00;12,00;12,00;6,00
2020-03-08;23,00;0,00;6,00;0,00;17,00;0,00;0,00;24,00;0,00;6,00;0,00;0,00;0,00;0,00;23,00;24,10;0,00;0,00;0,00;0,00;0,00
2020-03-15;23,00;0,00;17,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;33,95;17,52;5,48;0,00;6,00;0,00;6,00
2020-03-22;11,00;0,00;5,00;0,00;5,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;5,50;11,00;0,00;5,00;11,00;11,00;5,00
2020-03-29;22,00;0,00;5,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00
2020-04-05;21,00;16,00;5,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;26,53;11,05;11,05;0,00;0,00;0,00;5,00
2020-04-12;21,00;16,00;11,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;5,00;0,00;0,00;22,11;33,16;5,53;0,00;0,00;5,00;0,00
2020-04-19;32,00;16,00;5,00;0,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;15,45;33,10;0,00;0,00;5,00;0,00;11,00
2020-04-26;5,00;5,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;20,00;5,00;0,00;5,00;0,00;0,00
2020-05-03;21,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;5,00;5,00;0,00;5,00;0,00;0,00;5,53;27,63;5,53;0,00;5,00;5,00;0,00
2020-05-10;11,00;5,00;5,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;5,00;0,00;0,00;11,00;16,50;11,00;0,00;0,00;5,00;5,00
2020-05-17;0,00;0,00;11,00;0,00;0,00;0,00;0,00;23,00;6,00;11,00;0,00;6,00;0,00;0,00;10,00;26,00;0,00;0,00;0,00;0,00;6,00
2020-05-24;11,00;0,00;0,00;6,00;6,00;0,00;0,00;58,00;0,00;0,00;0,00;0,00;0,00;0,00;5,50;40,70;0,00;6,00;0,00;0,00;0,00
2020-05-31;27,00;11,00;11,00;5,00;0,00;0,00;0,00;11,00;0,00;5,00;0,00;0,00;0,00;0,00;11,25;11,25;5,63;5,00;0,00;0,00;0,00
2020-06-07;33,00;6,00;16,00;0,00;0,00;0,00;5,00;51,00;5,00;5,00;0,00;5,00;0,00;0,00;11,00;16,50;0,00;0,00;11,00;5,00;0,00
2020-06-14;17,00;12,00;0,00;6,00;0,00;0,00;0,00;42,00;0,00;12,00;0,00;6,00;6,00;0,00;5,31;17,00;0,00;0,00;6,00;0,00;0,00
