Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-06-30;40,00;5,00;11,00;9,00;1,00;18,00;5,00;8,00;0,00;4,00;1,00;7,00;11,00;2,00;1,00;10,00;2,00;29,47;1,05;12,63;6,32;0,00;5,00;1,00;0,00;1,00;3,00;1,00;6,00;4,00;2,00;3,00;0,00;1,03;0,00;0,00;0,00;1,03;0,00;1,03;0,00;0,00;0,00;0,00
2019-07-07;43,00;11,00;15,00;9,00;0,00;9,00;3,00;4,00;1,00;4,00;1,00;11,00;15,00;0,00;1,00;9,00;2,00;29,69;2,05;9,21;14,33;0,00;6,00;3,00;1,00;2,00;3,00;0,00;11,00;6,00;3,00;5,00;0,00;1,05;0,00;0,00;1,05;1,05;3,15;1,05;0,00;0,00;0,00;0,00
2019-07-14;44,00;17,00;15,00;5,00;1,00;14,00;7,00;7,00;2,00;5,00;1,00;9,00;21,00;1,00;2,00;6,00;2,00;29,67;1,02;10,23;10,23;0,00;3,00;3,00;0,00;1,00;7,00;1,00;9,00;7,00;3,00;6,00;1,00;3,00;0,00;0,00;1,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-07-21;38,00;16,00;14,00;5,00;3,00;22,00;6,00;8,00;3,00;3,00;3,00;10,00;18,00;0,00;2,00;8,00;3,00;27,73;1,03;14,38;7,19;0,00;3,00;7,00;0,00;3,00;2,00;5,00;3,00;8,00;3,00;7,00;0,00;2,00;0,00;0,00;1,00;3,00;1,00;2,00;1,00;0,00;1,00;0,00
2019-07-28;48,00;12,00;12,00;3,00;2,00;10,00;7,00;9,00;4,00;7,00;1,00;5,00;17,00;0,00;1,00;11,00;1,00;36,52;3,13;13,57;10,43;1,00;4,00;4,00;0,00;1,00;2,00;1,00;11,00;8,00;6,00;6,00;0,00;2,09;1,04;1,04;1,04;1,04;3,13;0,00;0,00;0,00;0,00;0,00
2019-08-04;44,00;9,00;13,00;4,00;3,00;13,00;8,00;6,00;1,00;5,00;5,00;14,00;16,00;1,00;3,00;5,00;3,00;39,91;1,02;14,33;12,28;0,00;3,00;2,00;0,00;1,00;3,00;1,00;11,00;7,00;3,00;2,00;0,00;1,05;3,14;1,05;0,00;2,10;1,05;1,05;0,00;1,00;0,00;0,00
2019-08-11;41,00;10,00;15,00;5,00;3,00;13,00;5,00;5,00;2,00;4,00;2,00;15,00;16,00;1,00;3,00;9,00;0,00;29,44;3,15;19,97;9,46;0,00;3,00;7,00;0,00;6,00;5,00;1,00;12,00;6,00;3,00;7,00;0,00;1,03;1,03;1,03;0,00;1,03;1,03;3,08;0,00;0,00;0,00;0,00
2019-08-18;46,00;10,00;13,00;10,00;3,00;15,00;10,00;6,00;2,00;9,00;1,00;8,00;13,00;1,00;4,00;9,00;3,00;32,71;3,07;15,33;9,20;0,00;7,00;2,00;1,00;3,00;5,00;0,00;10,00;6,00;1,00;7,00;0,00;2,09;1,05;1,05;0,00;1,05;0,00;1,05;0,00;0,00;0,00;0,00
2019-08-25;43,00;7,00;10,00;6,00;3,00;10,00;7,00;10,00;1,00;3,00;1,00;10,00;13,00;1,00;2,00;7,00;1,00;24,12;2,10;10,49;12,59;1,00;3,00;2,00;1,00;1,00;2,00;0,00;11,00;6,00;1,00;4,00;0,00;0,00;0,00;1,02;0,00;4,10;3,07;1,02;0,00;0,00;0,00;0,00
2019-09-01;46,00;8,00;18,00;8,00;3,00;9,00;7,00;10,00;3,00;9,00;4,00;11,00;17,00;3,00;3,00;11,00;3,00;37,64;1,05;28,23;12,55;1,00;4,00;2,00;1,00;1,00;2,00;0,00;14,00;8,00;5,00;5,00;0,00;2,14;4,28;0,00;0,00;2,14;1,07;1,07;0,00;0,00;0,00;0,00
