Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-07-14;39,00;0,00;6,00;17,00;0,00;17,00;0,00;0,00;0,00;0,00;5,78;5,78;21,67;0,00;0,00;10,17;28,83;0,00;0,00;0,00;20,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00
2019-07-21;35,00;6,18;11,32;6,18;0,00;6,18;0,00;6,18;6,18;0,00;0,00;12,17;152,17;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;12,00;18,00;0,00;0,00;6,00;6,00;0,00;17,50;6,18;0,00;6,18;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;53,00;31,07;0,00;53,00;20,10;0,00;0,00;0,00;0,00;0,00;0,00;31,80;63,60;0,00;0,00;6,00;12,00;0,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;20,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;55,00;8,05;16,10;22,80;16,10;8,05;0,00;8,05;0,00;0,00;7,86;7,86;78,57;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;6,00;22,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;44,00;0,00;6,00;31,00;6,00;12,00;6,00;0,00;6,00;0,00;0,00;13,20;24,93;0,00;13,89;0,00;30,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,11;0,00;13,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;69,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,25;0,00;0,00;0,00;16,90;0,00;0,00;8,45;0,00;0,00;8,45;0,00;0,00;8,45;8,45;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;32,00;0,00;5,00;11,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,82;32,00;0,00;0,00;6,86;6,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,86;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;31,00;0,00;20,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,30;31,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;5,00;0,00;0,00;5,00;0,00;20,67;0,00;0,00;0,00;10,33;0,00;0,00;0,00;0,00;0,00
2019-09-08;59,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,19;0,00;0,00;9,44;49,56;5,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;8,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;20,00;5,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;14,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;20,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;6,25;0,00;12,50;12,50;0,00;6,25;0,00;6,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;32,00;0,00;0,00;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;18,29;96,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;22,00;0,00;0,00;22,00;0,00;6,88;0,00;0,00;0,00;0,00;0,00;8,00;14,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;6,88;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;21,00;0,00;10,50;33,60;10,50;0,00;0,00;0,00;0,00;0,00;0,00;21,00;33,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;0,00;10,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;20,00;0,00;5,00;10,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;52,00;26,00;17,33;34,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,43;42,10;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;24,00;0,00;0,00;15,00;10,00;5,00;5,00;5,00;0,00;0,00;0,00;9,88;9,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;26,00;8,67;8,67;8,67;0,00;8,67;0,00;0,00;0,00;7,80;0,00;7,80;44,20;5,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;8,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;40,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,63;0,00;6,45;0,00;6,45;0,00;6,45;12,90;0,00;0,00;0,00;0,00;0,00;0,00;6,45;6,45;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;52,00;26,00;26,00;52,00;0,00;0,00;26,00;26,00;0,00;0,00;0,00;22,29;52,00;0,00;0,00;10,00;5,00;0,00;5,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;36,00;5,00;0,00;10,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;30,24;0,00;0,00;5,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,63;0,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;41,00;0,00;0,00;5,00;0,00;5,00;0,00;5,00;0,00;5,66;0,00;0,00;9,90;0,00;0,00;17,26;0,00;0,00;5,39;0,00;17,26;0,00;0,00;0,00;5,39;5,39;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;46,00;5,00;0,00;5,00;10,00;0,00;0,00;5,00;0,00;0,00;5,75;0,00;20,13;0,00;0,00;0,00;0,00;0,00;7,19;0,00;7,19;0,00;0,00;0,00;0,00;7,19;7,19;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;36,00;9,39;9,39;18,78;0,00;9,39;9,39;9,39;0,00;9,00;0,00;0,00;18,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;12,00;12,00;9,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;100,00;11,00;11,00;11,00;6,00;0,00;0,00;6,00;0,00;5,80;0,00;5,80;44,93;0,00;12,00;6,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;12,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;37,00;0,00;5,29;5,29;0,00;0,00;5,29;5,29;5,29;0,00;0,00;4,63;26,21;16,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;10,00;5,00;5,29;0,00;0,00;0,00;0,00;0,00;5,29;0,00;0,00;0,00
2020-01-12;28,00;0,00;0,00;9,00;9,00;0,00;0,00;5,00;0,00;0,00;0,00;4,20;22,40;123,20;0,00;14,00;0,00;0,00;14,00;0,00;14,00;0,00;0,00;28,00;0,00;28,00;0,00;0,00;0,00;9,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;15,00;7,50;7,50;15,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;36,43;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;10,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;19,00;0,00;0,00;19,00;19,00;10,56;0,00;10,56;0,00;0,00;0,00;0,00;19,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;10,56;10,56;10,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;24,00;5,22;0,00;9,39;0,00;5,22;0,00;5,22;0,00;0,00;0,00;15,00;15,00;0,00;0,00;5,00;10,00;0,00;15,00;0,00;5,00;0,00;0,00;0,00;0,00;15,00;15,00;5,00;14,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;48,00;5,00;10,00;10,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;4,36;14,55;19,20;9,60;0,00;0,00;0,00;0,00;9,60;9,60;0,00;0,00;0,00;0,00;0,00;19,20;0,00;0,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00
2020-02-16;35,00;0,00;6,03;0,00;6,03;0,00;0,00;0,00;0,00;0,00;0,00;5,25;45,50;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;33,00;9,28;0,00;0,00;5,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;5,00;5,00;0,00;4,13;9,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;49,00;0,00;9,00;18,00;4,00;0,00;0,00;4,00;0,00;4,32;0,00;4,32;4,32;0,00;0,00;24,50;11,61;0,00;6,45;0,00;6,45;0,00;0,00;0,00;0,00;6,45;6,45;6,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;23,00;0,00;74,75;51,75;0,00;0,00;0,00;23,00;0,00;0,00;0,00;69,00;92,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;14,00;0,00;0,00;14,00;59,50;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;13,00;0,00;0,00;0,00;60,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;6,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;0,00;0,00;4,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;9,00;0,00;9,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;0,00;0,00;4,00;4,00;18,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;13,00;0,00;6,50;21,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,50;19,50;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;14,00;0,00;0,00;31,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;28,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;4,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-05-24;9,00;0,00;0,00;9,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;9,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;13,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,33;0,00;0,00;7,22;0,00;0,00;0,00;0,00;7,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;10,00;0,00;0,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;41,43;0,00;0,00;10,00;20,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;10,00;10,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;26,00;0,00;0,00;20,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;29,00;0,00;5,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,15;23,20;0,00;0,00;0,00;9,67;0,00;9,67;0,00;9,67;0,00;9,67;0,00;0,00;9,67;0,00;0,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;35,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;4,38;0,00;24,79;0,00;6,73;6,73;13,46;0,00;0,00;0,00;6,73;0,00;0,00;0,00;0,00;6,73;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;36,00;0,00;24,00;24,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;5,40;25,20;0,00;0,00;5,00;10,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-19;58,00;0,00;0,00;48,33;9,67;0,00;0,00;0,00;0,00;19,33;0,00;0,00;27,62;0,00;0,00;16,00;5,00;0,00;0,00;11,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;9,67;0,00;0,00;9,67;9,67;0,00;0,00;0,00;0,00;0,00
