Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;54,00;405,00;519,75;0,00;54,00;159,30;2,70;54,00;126,90;193,26;85,26;88,11;34,11;36,64;86,79;13,50;5,79;11,00;3,00;5,00;3,00;38,00;9,00;32,00;6,00;2,00;11,00;1,00;2,00;4,00;0,50;1,00;1,00;4,00;0,50;1,00;1,00;1,00;0,00;1,00;0,00
2019-01-13;56,00;364,00;504,00;0,00;56,00;152,00;2,67;53,33;138,67;170,80;92,40;100,80;44,80;30,90;73,38;9,66;5,79;14,00;2,00;8,00;3,00;39,00;10,00;35,00;5,00;2,00;10,00;0,50;2,00;7,00;0,50;0,50;0,00;7,00;0,50;0,50;0,00;0,50;0,00;0,50;0,00
2019-01-20;53,00;371,00;477,00;0,00;60,57;119,25;2,65;31,80;127,20;170,16;69,74;80,89;36,26;29,44;74,59;9,81;5,89;12,00;1,00;7,00;3,00;34,00;11,00;34,00;8,00;4,00;7,00;0,00;1,00;3,00;1,00;1,00;0,00;3,00;1,00;1,00;0,00;0,50;0,00;0,50;0,00
2019-01-27;49,00;308,00;420,00;0,00;56,00;139,26;2,58;25,79;105,74;147,00;62,61;81,67;40,83;23,52;64,68;9,80;3,92;8,00;2,00;4,00;3,00;28,00;7,00;31,00;8,00;2,00;8,00;0,50;1,00;5,00;0,50;2,00;1,00;5,00;0,50;2,00;1,00;1,00;0,50;1,00;0,50
2019-02-03;50,00;328,57;414,29;0,00;50,00;110,53;2,63;31,58;115,79;138,89;69,44;86,11;38,89;28,85;57,69;13,46;5,77;7,00;2,00;6,00;1,00;37,00;5,00;31,00;8,00;2,00;7,00;0,00;1,00;3,00;0,50;1,00;1,00;3,00;0,50;1,00;1,00;1,00;0,00;1,00;0,00
2019-02-10;51,00;320,57;437,14;0,00;51,00;99,32;2,68;29,53;104,68;130,33;68,00;85,00;34,00;25,50;54,92;9,81;3,92;8,00;1,00;4,00;2,00;32,00;11,00;31,00;8,00;3,00;9,00;0,00;1,00;6,00;0,50;1,00;0,00;6,00;0,50;1,00;0,00;0,50;0,00;0,50;0,00
2019-02-17;53,00;324,63;430,63;0,00;46,38;100,70;2,65;26,50;108,65;145,05;64,16;86,47;41,84;31,41;49,07;15,70;7,85;11,00;2,00;4,00;4,00;36,00;10,00;28,00;7,00;2,00;6,00;0,00;0,50;6,00;0,50;0,50;1,00;6,00;0,50;0,50;1,00;1,00;0,00;1,00;0,00
2019-02-24;53,00;298,13;424,00;0,00;39,75;119,25;2,65;29,15;113,95;172,95;69,74;83,68;33,47;25,52;47,11;13,74;5,89;9,00;2,00;5,00;2,00;32,00;9,00;34,00;4,00;1,00;8,00;0,50;1,00;6,00;1,00;1,00;0,50;6,00;1,00;1,00;0,50;0,50;0,00;0,50;0,00
2019-03-03;57,00;334,88;413,25;0,00;42,75;108,82;2,59;23,32;103,64;141,14;70,57;89,57;46,14;25,55;51,10;13,76;3,93;8,00;3,00;6,00;3,00;40,00;11,00;33,00;7,00;2,00;6,00;0,50;0,50;3,00;0,00;1,00;1,00;3,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-03-10;63,00;336,00;420,00;0,00;49,00;107,63;2,63;31,50;107,63;136,96;63,00;90,39;38,35;28,64;55,36;15,27;3,82;10,00;1,00;4,00;1,00;37,00;15,00;32,00;7,00;0,50;8,00;0,50;1,00;5,00;0,50;1,00;0,50;5,00;0,50;1,00;0,50;1,00;0,00;1,00;0,00
2019-03-17;60,00;427,50;487,50;0,00;45,00;96,52;2,61;39,13;117,39;155,45;84,55;95,45;43,64;32,90;60,00;11,61;7,74;11,00;1,00;5,00;2,00;36,00;8,00;39,00;9,00;3,00;11,00;0,50;1,00;5,00;0,50;0,50;1,00;5,00;0,50;0,50;1,00;0,50;0,50;0,50;0,50
2019-03-24;58,00;420,50;464,00;0,00;43,50;123,91;1,32;29,00;116,00;160,19;82,86;88,38;38,67;36,73;58,00;9,67;5,80;8,00;3,00;5,00;3,00;37,00;13,00;35,00;11,00;1,00;7,00;0,00;2,00;5,00;0,00;1,00;0,50;5,00;0,00;1,00;0,50;1,00;0,00;1,00;0,00
2019-03-31;71,00;468,60;426,00;0,00;42,60;123,59;2,63;36,81;136,74;172,04;92,85;122,88;46,42;44,14;57,57;11,51;5,76;9,00;4,00;5,00;3,00;35,00;15,00;40,00;10,00;1,00;7,00;0,50;1,00;5,00;1,00;1,00;1,00;5,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-04-07;81,00;552,27;463,91;3,68;51,55;151,55;2,61;36,58;164,61;195,52;97,76;117,31;47,48;36,64;69,43;17,36;3,86;11,00;2,00;9,00;3,00;49,00;15,00;49,00;11,00;3,00;8,00;0,00;1,00;6,00;1,00;2,00;1,00;6,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-04-14;67,00;502,50;482,40;0,00;40,20;128,85;2,58;43,81;159,77;223,33;114,46;125,63;55,83;40,20;59,34;13,40;3,83;11,00;1,00;5,00;2,00;40,00;13,00;46,00;10,00;4,00;7,00;0,50;1,00;5,00;0,50;2,00;1,00;5,00;0,50;2,00;1,00;1,00;0,00;1,00;0,00
2019-04-21;70,00;539,00;532,00;0,00;42,00;155,56;2,59;41,48;181,48;207,20;100,80;117,60;53,20;46,67;75,83;15,56;7,78;11,00;3,00;8,00;3,00;48,00;11,00;50,00;11,00;3,00;7,00;0,50;1,00;7,00;0,50;1,00;1,00;7,00;0,50;1,00;1,00;1,00;0,00;1,00;0,00
2019-04-28;66,00;550,00;447,33;0,00;36,67;161,04;2,64;58,08;205,92;206,25;104,50;112,75;57,75;48,53;71,82;21,35;7,76;14,00;3,00;4,00;3,00;43,00;17,00;48,00;8,00;2,00;8,00;0,50;2,00;9,00;0,50;1,00;1,00;9,00;0,50;1,00;1,00;1,00;0,00;1,00;0,00
2019-05-05;83,00;525,67;470,33;0,00;34,58;181,56;2,59;46,69;225,66;226,87;96,83;124,50;69,17;52,12;94,58;23,16;5,79;20,00;2,00;7,00;3,00;54,00;12,00;58,00;9,00;3,00;11,00;0,00;0,50;6,00;1,00;1,00;1,00;6,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-05-12;82,00;574,00;471,50;0,00;41,00;208,97;2,65;60,84;264,52;251,47;112,07;133,93;54,67;50,76;123,00;15,62;9,76;11,00;2,00;9,00;5,00;51,00;24,00;50,00;9,00;4,00;10,00;0,50;3,00;7,00;1,00;1,00;0,50;7,00;1,00;1,00;0,50;1,00;0,00;1,00;0,00
2019-05-19;86,00;637,83;487,33;0,00;35,83;221,52;2,61;62,55;224,12;221,94;133,16;116,52;61,03;50,82;113,36;19,55;5,86;12,00;3,00;12,00;4,00;47,00;25,00;48,00;11,00;2,00;11,00;0,00;1,00;10,00;2,00;1,00;1,00;10,00;2,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-05-26;78,00;638,18;432,55;0,00;35,45;213,20;2,60;54,60;228,80;208,93;119,79;130,93;61,29;68,25;134,55;21,45;9,75;13,00;3,00;7,00;4,00;45,00;16,00;57,00;10,00;4,00;10,00;0,50;1,00;8,00;0,00;1,00;1,00;8,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-06-02;92,00;651,08;460,00;0,00;42,46;239,20;2,63;60,46;212,91;256,48;105,94;122,67;55,76;58,72;131,15;17,62;7,83;16,00;2,00;8,00;5,00;48,00;17,00;51,00;7,00;4,00;12,00;0,00;1,00;8,00;1,00;2,00;0,00;8,00;1,00;2,00;0,00;3,00;0,00;3,00;0,00
2019-06-09;88,00;718,67;506,00;0,00;44,00;245,33;2,67;58,67;226,67;275,00;104,50;126,50;55,00;60,62;134,93;27,38;9,78;16,00;3,00;8,00;5,00;55,00;18,00;58,00;10,00;2,00;10,00;1,00;1,00;9,00;1,00;2,00;1,00;9,00;1,00;2,00;1,00;1,00;0,00;1,00;0,00
2019-06-16;95,00;701,54;496,92;0,00;51,15;248,06;2,64;60,69;211,11;254,26;103,38;134,12;58,68;62,04;129,90;23,27;11,63;17,00;4,00;9,00;2,00;54,00;22,00;58,00;11,00;4,00;9,00;0,00;1,00;10,00;1,00;2,00;2,00;10,00;1,00;2,00;2,00;1,00;0,00;1,00;0,00
2019-06-23;91,00;679,00;483,00;0,00;49,00;226,20;5,20;57,20;205,40;223,36;102,03;121,33;55,15;61,96;121,98;25,17;13,55;14,00;6,00;10,00;6,00;62,00;13,00;56,00;12,00;4,00;10,00;0,00;1,00;10,00;2,00;2,00;0,50;10,00;2,00;2,00;0,50;2,00;0,00;2,00;0,00
2019-06-30;81,00;662,73;478,64;3,68;44,18;248,23;2,61;47,03;216,87;234,62;97,76;122,90;47,48;67,50;125,36;23,14;11,57;14,00;4,00;9,00;3,00;52,00;17,00;59,00;9,00;3,00;13,00;1,00;2,00;10,00;1,00;1,00;2,00;10,00;1,00;1,00;2,00;2,00;0,50;2,00;0,50
2019-07-07;90,00;636,92;436,15;0,00;48,46;227,65;2,65;52,94;193,24;222,19;106,88;123,75;53,44;58,70;125,22;27,39;13,70;12,00;6,00;9,00;6,00;51,00;18,00;56,00;17,00;3,00;11,00;0,50;2,00;10,00;1,00;2,00;1,00;10,00;1,00;2,00;1,00;2,00;0,00;2,00;0,00
2019-07-14;100,00;635,71;457,14;0,00;42,86;247,37;2,63;57,89;226,32;236,11;100,00;116,67;55,56;60,78;121,57;25,49;11,76;20,00;3,00;8,00;4,00;50,00;14,00;53,00;11,00;2,00;8,00;0,00;1,00;8,00;1,00;2,00;1,00;8,00;1,00;2,00;1,00;2,00;0,50;2,00;0,50
2019-07-21;87,00;645,25;442,25;0,00;29,00;245,18;2,64;52,73;232,00;239,25;103,31;122,34;59,81;59,93;131,47;30,93;13,53;19,00;4,00;8,00;7,00;55,00;14,00;60,00;10,00;4,00;14,00;0,50;1,00;7,00;1,00;3,00;3,00;7,00;1,00;3,00;3,00;3,00;0,50;3,00;0,50
2019-07-28;69,00;600,30;400,20;0,00;48,30;262,73;2,65;47,77;217,62;240,12;91,08;132,48;66,24;53,67;141,83;26,83;9,58;18,00;3,00;6,00;9,00;52,00;15,00;47,00;13,00;5,00;10,00;1,00;3,00;6,00;1,00;1,00;2,00;6,00;1,00;1,00;2,00;2,00;0,50;2,00;0,50
2019-08-04;90,00;567,69;380,77;0,00;41,54;222,35;2,65;39,71;214,41;218,18;98,18;128,18;73,64;56,74;123,26;33,26;15,65;16,00;5,00;6,00;8,00;59,00;18,00;58,00;13,00;3,00;12,00;0,00;3,00;7,00;1,00;2,00;1,00;7,00;1,00;2,00;1,00;1,00;0,00;1,00;0,00
2019-08-11;77,00;616,00;392,00;0,00;42,00;225,69;2,66;45,14;199,14;211,75;93,50;115,50;52,25;47,38;100,69;33,56;9,87;21,00;5,00;10,00;9,00;46,00;16,00;53,00;15,00;4,00;8,00;0,00;2,00;7,00;1,00;1,00;1,00;7,00;1,00;1,00;1,00;2,00;0,50;2,00;0,50
2019-08-18;81,00;574,36;412,36;0,00;36,82;201,19;2,61;47,03;188,13;203,90;97,76;114,52;50,28;50,14;100,29;71,36;13,50;15,00;5,00;8,00;6,00;49,00;13,00;45,00;12,00;6,00;7,00;0,00;2,00;6,00;1,00;3,00;1,00;6,00;1,00;3,00;1,00;1,00;0,00;1,00;0,00
2019-08-25;69,00;600,30;379,50;0,00;41,40;217,62;5,31;53,08;201,69;209,76;88,32;104,88;57,96;47,31;110,40;84,77;11,83;12,00;3,00;9,00;6,00;40,00;11,00;49,00;11,00;4,00;7,00;0,50;1,00;6,00;0,50;2,00;1,00;6,00;0,50;2,00;1,00;1,00;0,50;1,00;0,50
2019-09-01;83,00;539,50;421,92;0,00;55,33;197,13;5,19;59,66;171,19;188,13;85,77;121,73;55,33;42,47;81,07;23,16;9,65;14,00;3,00;8,00;3,00;52,00;16,00;47,00;16,00;3,00;10,00;0,00;1,00;7,00;1,00;1,00;2,00;7,00;1,00;1,00;2,00;1,00;0,00;1,00;0,00
2019-09-08;76,00;621,82;628,73;0,00;48,36;191,31;5,24;68,14;172,97;182,96;87,26;115,41;56,30;46,77;87,69;19,49;7,79;15,00;3,00;14,00;3,00;42,00;13,00;44,00;11,00;2,00;13,00;0,50;1,00;10,00;0,50;1,00;1,00;10,00;0,50;1,00;1,00;0,50;0,00;0,50;0,00
2019-09-15;74,00;540,20;569,80;0,00;51,80;182,36;5,29;58,14;169,14;200,07;84,96;126,07;52,07;52,58;87,63;21,42;5,84;8,00;2,00;8,00;6,00;49,00;10,00;41,00;14,00;2,00;10,00;1,00;1,00;10,00;0,50;1,00;0,00;10,00;0,50;1,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;76,00;483,64;456,00;0,00;55,27;165,10;5,24;65,52;165,10;179,14;81,43;100,43;48,86;54,56;60,41;17,54;1,95;12,00;2,00;7,00;4,00;42,00;15,00;41,00;13,00;4,00;10,00;0,50;1,00;7,00;1,00;1,00;0,50;7,00;1,00;1,00;0,50;0,50;0,00;0,50;0,00
2019-09-29;63,00;392,00;406,00;0,00;49,00;126,00;5,25;44,63;136,50;139,70;71,22;98,61;46,57;42,00;64,91;19,09;1,91;8,00;1,00;5,00;2,00;31,00;14,00;41,00;11,00;4,00;10,00;0,50;2,00;6,00;0,50;0,50;1,00;6,00;0,50;0,50;1,00;1,00;0,00;1,00;0,00
2019-10-06;58,00;377,00;427,75;0,00;43,50;129,18;2,64;39,55;113,36;113,24;58,00;88,38;49,71;36,73;50,27;11,60;3,87;9,00;2,00;5,00;1,00;26,00;12,00;30,00;8,00;2,00;9,00;0,50;1,00;7,00;1,00;2,00;0,50;7,00;1,00;2,00;0,50;0,50;0,00;0,50;0,00
2019-10-13;56,00;350,00;392,00;0,00;42,00;98,67;2,67;34,67;93,33;103,60;64,40;78,40;39,20;27,03;48,28;9,66;1,93;11,00;2,00;5,00;3,00;33,00;10,00;31,00;5,00;3,00;7,00;0,50;2,00;4,00;1,00;1,00;0,00;4,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;51,00;298,71;400,71;0,00;51,00;88,58;5,37;26,84;83,21;99,17;53,83;79,33;36,83;23,54;37,27;11,77;3,92;10,00;1,00;6,00;2,00;31,00;8,00;30,00;7,00;2,00;6,00;0,00;1,00;5,00;0,00;1,00;0,50;5,00;0,00;1,00;0,50;1,00;0,50;1,00;0,50
2019-10-27;35,00;189,00;350,00;0,00;35,00;64,62;5,38;21,54;56,54;80,77;45,77;53,85;32,31;15,56;23,33;7,78;1,94;6,00;1,00;4,00;2,00;18,00;9,00;19,00;9,00;2,00;5,00;0,50;2,00;3,00;0,00;1,00;1,00;3,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-11-03;38,00;167,20;319,20;0,00;45,60;54,29;2,71;21,71;62,43;73,29;38,00;48,86;27,14;16,00;30,00;10,00;2,00;8,00;1,00;4,00;1,00;20,00;5,00;17,00;4,00;3,00;3,00;0,00;1,00;3,00;0,50;0,50;1,00;3,00;0,50;0,50;1,00;0,00;0,00;0,00;0,00
2019-11-10;35,00;140,00;329,00;0,00;35,00;51,15;5,38;13,46;45,77;59,23;45,77;48,46;24,23;15,56;27,22;7,78;1,94;9,00;2,00;3,00;2,00;24,00;7,00;16,00;3,00;2,00;4,00;1,00;1,00;4,00;0,50;1,00;0,50;4,00;0,50;1,00;0,50;0,50;0,00;0,50;0,00
2019-11-17;38,00;121,60;258,40;0,00;38,00;46,14;2,71;13,57;46,14;67,86;43,43;43,43;21,71;14,00;30,00;10,00;2,00;7,00;1,00;5,00;3,00;21,00;5,00;13,00;2,00;1,00;5,00;0,50;1,00;4,00;1,00;1,00;1,00;4,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-11-24;40,00;120,00;213,33;3,33;40,00;42,67;5,33;10,67;53,33;65,71;31,43;48,57;22,86;13,33;24,76;5,71;1,90;4,00;1,00;2,00;3,00;19,00;8,00;13,00;4,00;1,00;3,00;0,00;1,00;3,00;0,50;1,00;0,50;3,00;0,50;1,00;0,50;1,00;0,00;1,00;0,00
2019-12-01;35,00;119,00;196,00;0,00;35,00;45,77;2,69;8,08;40,38;61,92;26,92;35,00;26,92;13,61;19,44;7,78;3,89;9,00;1,00;3,00;0,50;18,00;5,00;11,00;3,00;1,00;2,00;0,50;0,00;2,00;1,00;0,50;0,00;2,00;1,00;0,50;0,00;1,00;0,00;1,00;0,00
2019-12-08;35,00;119,00;182,00;0,00;28,00;37,69;2,69;8,08;35,00;64,62;32,31;43,08;24,23;9,72;23,33;7,78;1,94;7,00;1,00;2,00;1,00;19,00;6,00;11,00;5,00;1,00;3,00;1,00;1,00;2,00;0,00;0,50;0,00;2,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-12-15;40,00;120,00;180,00;0,00;33,33;48,00;5,33;10,67;42,67;64,00;32,00;45,33;26,67;19,05;30,48;7,62;0,95;8,00;2,00;2,00;3,00;24,00;7,00;19,00;5,00;2,00;5,00;0,00;1,00;3,00;0,50;1,00;0,50;3,00;0,50;1,00;0,50;0,00;0,00;0,00;0,00
2019-12-22;47,00;188,00;268,57;0,00;53,71;57,44;5,22;18,28;75,72;91,24;44,24;58,06;33,18;19,58;27,42;13,71;1,96;10,00;3,00;6,00;3,00;35,00;8,00;22,00;4,00;2,00;4,00;0,00;1,00;4,00;0,50;2,00;1,00;4,00;0,50;2,00;1,00;1,00;0,00;1,00;0,00
2019-12-29;62,00;303,11;378,89;0,00;55,11;113,22;5,39;29,65;129,39;135,27;62,00;78,91;39,45;27,13;50,38;13,56;7,75;11,00;2,00;3,00;3,00;45,00;10,00;36,00;5,00;3,00;10,00;0,00;1,00;5,00;0,50;1,00;2,00;5,00;0,50;1,00;2,00;1,00;0,00;1,00;0,00
2020-01-05;67,00;431,78;521,11;0,00;59,56;150,08;5,36;37,52;155,44;170,29;83,75;94,92;50,25;35,47;65,03;17,74;3,94;14,00;2,00;5,00;2,00;53,00;11,00;37,00;8,00;3,00;7,00;0,50;1,00;5,00;1,00;2,00;1,00;5,00;1,00;2,00;1,00;2,00;0,00;2,00;0,00
2020-01-12;68,00;401,20;516,80;0,00;54,40;136,00;5,23;44,46;185,69;176,80;87,04;81,60;46,24;31,09;64,11;15,54;5,83;13,00;2,00;7,00;1,00;51,00;12,00;35,00;6,00;4,00;10,00;0,00;1,00;6,00;1,00;2,00;1,00;6,00;1,00;2,00;1,00;1,00;0,00;1,00;0,00
2020-01-19;62,00;372,00;516,67;0,00;55,11;137,48;5,39;37,74;156,35;211,36;87,36;84,55;47,91;29,06;65,88;17,44;5,81;11,00;3,00;7,00;5,00;37,00;12,00;36,00;7,00;2,00;12,00;0,00;1,00;18,00;1,00;2,00;1,00;18,00;1,00;2,00;1,00;1,00;0,00;1,00;0,00
2020-01-26;61,00;332,11;413,44;0,00;47,44;137,91;2,65;26,52;116,70;155,27;72,09;80,41;36,05;27,55;53,13;11,81;7,87;8,00;2,00;7,00;3,00;40,00;13,00;31,00;7,00;4,00;9,00;0,00;1,00;12,00;0,00;1,00;1,00;12,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00
2020-02-02;56,00;315,00;434,00;0,00;56,00;112,00;2,67;26,67;112,00;162,40;78,40;84,00;39,20;27,03;56,00;9,66;5,79;13,00;2,00;6,00;4,00;37,00;15,00;32,00;7,00;3,00;8,00;0,50;1,00;9,00;0,00;1,00;1,00;9,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00
2020-02-09;63,00;329,00;378,00;0,00;49,00;94,50;2,63;26,25;107,63;145,17;68,48;87,65;43,83;23,63;57,09;19,69;5,91;11,00;1,00;6,00;2,00;37,00;13,00;31,00;5,00;2,00;10,00;0,50;1,00;6,00;1,00;2,00;1,00;6,00;1,00;2,00;1,00;0,50;0,00;0,50;0,00
2020-02-16;71,00;333,70;426,00;0,00;49,70;99,93;2,63;31,56;120,96;133,81;73,73;92,85;43,69;27,61;53,25;11,83;3,94;11,00;2,00;6,00;3,00;38,00;11,00;31,00;6,00;2,00;7,00;0,00;2,00;7,00;1,00;1,00;1,00;7,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2020-02-23;59,00;324,50;427,75;0,00;36,88;88,50;5,36;24,14;88,50;112,38;73,05;73,05;44,95;25,57;49,17;9,83;3,93;9,00;1,00;4,00;2,00;26,00;12,00;22,00;5,00;1,00;7,00;0,50;1,00;7,00;1,00;1,00;0,50;7,00;1,00;1,00;0,50;1,00;0,00;1,00;0,00
2020-03-01;46,00;283,67;391,00;0,00;38,33;78,47;5,41;21,65;78,47;83,88;59,53;62,24;37,88;19,17;36,42;9,58;3,83;9,00;2,00;4,00;2,00;14,00;9,00;20,00;5,00;4,00;5,00;0,50;1,00;3,00;0,50;1,00;1,00;3,00;0,50;1,00;1,00;0,50;0,00;0,50;0,00
2020-03-08;35,00;399,00;700,00;0,00;28,00;80,77;2,69;18,85;61,92;75,38;59,23;59,23;48,46;17,50;31,11;9,72;1,94;11,00;2,00;3,00;1,00;13,00;8,00;10,00;4,00;1,00;7,00;0,50;1,00;2,00;1,00;1,00;1,00;2,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-03-15;28,00;154,00;252,00;0,00;21,00;35,64;2,55;10,18;35,64;42,00;19,60;70,00;61,60;12,00;14,00;8,00;2,00;5,00;1,00;3,00;1,00;9,00;4,00;7,00;4,00;2,00;2,00;0,00;0,50;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,50;0,00;0,50;0,00
2020-03-22;9,00;117,00;135,00;0,00;9,00;24,00;3,00;9,00;27,00;39,00;15,00;27,00;18,00;5,40;12,60;5,40;0,90;3,00;2,00;0,50;1,00;10,00;4,00;5,00;2,00;1,00;2,00;0,50;0,00;1,00;0,00;0,50;0,00;1,00;0,00;0,50;0,00;1,00;0,00;1,00;0,00
2020-03-29;12,00;72,00;108,00;0,00;6,00;24,00;2,40;7,20;33,60;54,00;18,00;15,00;9,00;8,00;24,00;6,00;1,00;4,00;1,00;2,00;0,50;13,00;4,00;3,00;2,00;0,50;2,00;0,00;0,00;1,00;0,00;0,50;0,00;1,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2020-04-05;13,00;104,00;136,50;3,25;6,50;46,80;2,60;7,80;39,00;59,80;20,80;10,40;5,20;9,29;26,00;5,57;0,93;4,00;2,00;2,00;1,00;18,00;6,00;6,00;2,00;1,00;1,00;0,50;1,00;1,00;0,00;0,50;0,50;1,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00
2020-04-12;15,00;120,00;157,50;0,00;7,50;37,50;1,25;7,50;47,50;57,50;20,00;10,00;7,50;11,25;31,88;5,63;1,88;3,00;2,00;2,00;1,00;13,00;4,00;5,00;3,00;1,00;1,00;0,00;0,00;2,00;0,00;1,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;16,00;128,00;152,00;0,00;16,00;40,00;2,67;8,00;45,33;58,67;18,67;16,00;8,00;10,00;32,00;8,00;2,00;7,00;1,00;1,00;0,50;16,00;4,00;6,00;2,00;0,50;3,00;0,50;0,50;2,00;0,00;1,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;15,00;105,00;120,00;0,00;7,50;35,00;2,50;7,50;45,00;57,00;27,00;15,00;9,00;5,63;30,00;3,75;1,88;5,00;2,00;1,00;1,00;19,00;4,00;4,00;3,00;1,00;1,00;0,00;1,00;1,00;0,50;1,00;0,50;1,00;0,50;1,00;0,50;0,00;0,00;0,00;0,00
2020-05-03;14,00;119,00;140,00;3,50;7,00;50,40;2,80;8,40;47,60;61,60;25,20;14,00;8,40;10,00;34,00;6,00;2,00;4,00;1,00;2,00;1,00;24,00;4,00;6,00;4,00;1,00;1,00;0,50;1,00;2,00;0,50;1,00;0,50;2,00;0,50;1,00;0,50;1,00;0,00;1,00;0,00
2020-05-10;16,00;120,00;160,00;0,00;8,00;45,33;2,67;8,00;37,33;58,67;24,00;16,00;8,00;8,00;26,00;6,00;4,00;6,00;1,00;2,00;2,00;19,00;5,00;6,00;4,00;1,00;1,00;0,00;1,00;1,00;0,00;1,00;0,50;1,00;0,00;1,00;0,50;0,00;0,00;0,00;0,00
2020-05-17;21,00;119,00;147,00;0,00;7,00;68,25;2,63;7,88;57,75;73,50;31,50;18,38;7,88;7,64;34,36;5,73;1,91;8,00;2,00;1,00;2,00;23,00;3,00;8,00;4,00;1,00;2,00;0,00;0,50;1,00;1,00;1,00;0,50;1,00;1,00;1,00;0,50;0,50;0,00;0,50;0,00
2020-05-24;19,00;120,33;139,33;0,00;12,67;76,00;2,71;10,86;57,00;76,00;32,57;19,00;10,86;13,30;34,20;7,60;1,90;6,00;3,00;2,00;2,00;31,00;3,00;10,00;5,00;1,00;2,00;0,00;1,00;1,00;0,50;1,00;1,00;1,00;0,50;1,00;1,00;0,50;0,00;0,50;0,00
2020-05-31;24,00;152,00;192,00;0,00;8,00;72,00;2,67;10,67;50,67;80,00;29,33;26,67;10,67;16,00;36,00;8,00;4,00;7,00;1,00;3,00;2,00;28,00;5,00;8,00;5,00;2,00;4,00;0,50;1,00;2,00;0,50;0,50;0,50;2,00;0,50;0,50;0,50;1,00;0,00;1,00;0,00
2020-06-07;22,00;146,67;205,33;0,00;14,67;74,25;2,75;11,00;71,50;85,25;30,25;27,50;11,00;12,00;42,00;10,00;2,00;8,00;2,00;3,00;1,00;24,00;3,00;9,00;5,00;1,00;3,00;0,50;0,50;1,00;0,50;0,50;0,50;1,00;0,50;0,50;0,50;0,50;0,00;0,50;0,00
2020-06-14;30,00;150,00;217,50;3,75;7,50;65,45;2,73;13,64;68,18;90,00;30,00;32,73;16,36;18,00;46,00;10,00;4,00;6,00;2,00;2,00;1,00;25,00;6,00;11,00;5,00;1,00;2,00;0,50;1,00;2,00;0,50;1,00;0,50;2,00;0,50;1,00;0,50;0,50;0,00;0,50;0,00
2020-06-21;43,00;236,50;258,00;0,00;14,33;96,75;2,69;16,13;102,13;137,60;48,73;45,87;28,67;17,59;68,41;11,73;7,82;13,00;4,00;4,00;3,00;31,00;7,00;13,00;7,00;3,00;3,00;0,00;1,00;3,00;0,50;2,00;1,00;3,00;0,50;2,00;1,00;0,50;0,00;0,50;0,00
2020-06-28;44,00;256,67;249,33;0,00;14,67;119,06;1,29;20,71;100,94;118,25;60,50;35,75;24,75;24,87;57,39;15,30;7,65;14,00;4,00;4,00;1,00;35,00;8,00;19,00;9,00;5,00;5,00;0,00;2,00;5,00;1,00;1,00;1,00;5,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2020-07-05;44,00;271,33;249,33;0,00;14,67;113,88;2,59;20,71;90,59;181,50;63,25;38,50;27,50;24,87;65,04;21,04;5,74;12,00;2,00;4,00;3,00;36,00;8,00;21,00;8,00;3,00;5,00;0,00;2,00;3,00;0,50;2,00;0,50;3,00;0,50;2,00;0,50;1,00;0,00;1,00;0,00
