Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2020-01-05;46,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;33,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;4,00;12,00;8,00;16,51;0,00;41,28;8,26;0,00;0,00;41,69;53,19;4,60;4,60;49,45;0,00;40,69;19,46;0,00;3,54
2020-01-12;59,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;12,00;0,00;0,00;8,00;0,00;12,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;30,08;0,00;15,04;15,04;0,00;0,00;59,00;18,71;11,57;0,00;39,33;3,47;26,82;35,76;7,15;23,24
2020-01-19;53,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;28,00;8,00;8,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;8,00;0,00;0,00;4,00;32,00;0,00;3,53;0,00;23,56;3,53;4,30;4,30;60,16;42,97;11,52;8,07;36,87;0,00;31,80;3,53;12,37;15,90
2020-01-26;68,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;20,00;0,00;4,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;11,72;0,00;11,72;3,52;7,23;0,00;63,66;20,26;19,59;14,98;84,14;3,46;23,26;12,53;16,11;19,68
2020-02-02;69,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;8,00;16,00;0,00;4,00;20,00;8,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;4,00;4,00;4,00;0,00;16,00;0,00;0,00;0,00;39,76;8,19;4,31;0,00;60,38;43,13;19,55;8,05;40,25;0,00;47,77;28,31;12,38;28,31
2020-02-09;94,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;8,00;41,00;0,00;0,00;0,00;12,00;0,00;0,00;4,00;0,00;4,00;20,00;0,00;4,00;4,00;12,00;0,00;16,25;0,00;35,98;3,48;0,00;8,55;84,03;31,33;16,05;11,46;102,02;0,00;19,51;15,96;12,42;39,02
2020-02-16;69,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;24,00;0,00;4,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;12,00;0,00;8,19;8,19;23,39;3,51;0,00;4,31;71,88;31,63;11,50;3,45;77,05;0,00;63,69;0,00;7,08;31,85
2020-02-23;59,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;8,00;35,00;8,00;4,00;0,00;15,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;4,00;0,00;15,00;0,00;15,04;0,00;61,31;15,04;11,51;0,00;63,32;43,17;11,57;0,00;83,29;0,00;30,39;7,15;16,09;26,82
2020-03-01;86,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;11,00;0,00;0,00;16,00;4,00;11,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;19,00;8,00;3,49;0,00;45,32;0,00;4,30;0,00;61,63;38,70;14,91;11,47;69,95;0,00;26,88;23,29;0,00;23,29
2020-03-08;72,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;27,00;4,00;11,00;0,00;19,00;0,00;0,00;4,00;0,00;7,00;4,00;7,00;0,00;0,00;15,00;0,00;6,97;0,00;108,00;3,48;7,06;0,00;141,18;55,06;36,57;6,86;86,86;3,43;43,90;10,54;7,02;175,61
