Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2019-06-30;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;9,00;5,00;0,00;5,00;5,00;38,00;0,00;0,00;9,00;5,00;5,00;5,00;9,00;0,00
2019-07-07;34,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;5,00;28,00;18,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;9,00;14,00;0,00;5,00;5,00;14,00;0,00;5,00;5,00
2019-07-14;44,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;37,00;18,00;0,00;5,00;0,00;5,00;5,00;0,00;5,00;23,00;0,00;0,00;9,00;5,00;5,00;0,00;0,00;0,00
2019-07-21;67,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;10,00;10,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;30,00;0,00;0,00;15,00;0,00;15,00;15,00;0,00;0,00
2019-07-28;41,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;10,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;20,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;10,00
2019-08-04;66,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;5,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;44,00;0,00;5,00;5,00;5,00;5,00;10,00;5,00;5,00
2019-08-11;39,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;9,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;9,00;23,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;9,00;42,00;18,00;0,00;14,00;5,00;0,00;18,00;0,00;5,00
2019-08-18;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;14,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;9,00;0,00;5,00;0,00;9,00;14,00;5,00;5,00;5,00;9,00;9,00;5,00;5,00;0,00
2019-08-25;34,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;23,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;9,00;32,00;5,00;5,00;9,00;14,00;5,00;0,00;5,00;0,00
2019-09-01;41,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;13,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;13,00;4,00;4,00;9,00;0,00;18,00;0,00;0,00;0,00;13,00;9,00;0,00;0,00;0,00;27,00;4,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
