Semaine;Nice (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA)
2019-06-30;73,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;2,00;4,00;0,00;0,00;0,00;0,00;2,00;0,00;4,00;6,00;17,00;13,00;10,00;8,00;4,00;0,00;6,00;17,00;33,00;2,00;2,00;37,00;17,00;19,00;49,00;19,00;0,00;4,00;54,00;354,05;10,95;0,00;7,30
2019-07-07;86,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;4,00;0,00;0,00;0,00;2,00;0,00;6,00;11,00;22,00;11,00;6,00;4,00;6,00;2,00;8,00;17,00;45,00;17,00;4,00;76,00;32,00;9,00;59,00;17,00;0,00;11,00;73,00;370,17;7,48;0,00;7,48
2019-07-14;98,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;11,00;12,00;11,00;2,00;2,00;5,00;11,00;9,00;34,00;2,00;0,00;48,00;30,00;11,00;72,00;7,00;2,00;9,00;52,00;308,52;7,26;0,00;7,26
2019-07-21;74,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;9,00;12,00;5,00;14,00;9,00;0,00;2,00;2,00;19,00;28,00;5,00;0,00;66,00;37,00;21,00;64,00;9,00;2,00;7,00;56,00;314,50;7,40;0,00;11,10
2019-07-28;39,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;8,00;4,00;0,00;13,00;8,00;9,00;8,00;0,00;2,00;4,00;0,00;0,00;34,00;2,00;0,00;49,00;26,00;17,00;48,00;17,00;4,00;2,00;42,00;223,36;3,55;0,00;3,55
2019-08-04;31,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;12,00;6,00;4,00;0,00;8,00;4,00;2,00;6,00;4,00;18,00;4,00;0,00;44,00;22,00;8,00;54,00;16,00;2,00;0,00;32,00;255,75;7,75;0,00;7,75
2019-08-11;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;9,00;4,00;4,00;2,00;4,00;0,00;0,00;7,00;9,00;6,00;0,00;25,00;15,00;13,00;69,00;6,00;0,00;7,00;24,00;206,22;7,11;0,00;10,67
2019-08-18;41,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;18,00;8,00;4,00;4,00;0,00;4,00;6,00;0,00;8,00;11,00;27,00;0,00;28,00;8,00;4,00;59,00;12,00;0,00;2,00;13,00;186,36;7,45;0,00;7,45
2019-08-25;18,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;8,00;2,00;2,00;4,00;2,00;0,00;2,00;2,00;6,00;11,00;17,00;0,00;26,00;14,00;4,00;45,00;0,00;4,00;4,00;21,00;172,80;10,80;0,00;3,60
2019-09-01;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;2,00;2,00;4,00;0,00;0,00;4,00;2,00;7,00;9,00;4,00;0,00;27,00;7,00;4,00;34,00;15,00;2,00;0,00;15,00;142,50;7,50;0,00;3,75
