Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2019-06-30;66,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,86;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;27,00;18,00;0,00;39,00;0,00;0,00;39,00;0,00;9,43;0,00;66,00;0,00;7,33;73,33;0,00;7,33
2019-07-07;77,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,39;18,78;0,00;0,00;0,00;0,00;19,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;10,00;0,00;65,15;8,88;8,88;29,62;0,00;0,00;17,77;8,88;48,13;0,00;57,75;19,25;7,00;56,00;21,00;0,00
2019-07-14;31,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;9,69;21,31;0,00;0,00;10,00;10,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;10,00;10,00;0,00;21,70;0,00;9,30;31,00;9,30;9,30;62,00;9,30;10,33;10,33;113,67;0,00;0,00;46,50;0,00;7,75
2019-07-21;62,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;11,27;11,27;0,00;11,27;0,00;0,00;10,00;0,00;10,00;10,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;11,00;10,00;29,52;8,86;8,86;29,52;0,00;0,00;8,86;8,86;19,08;0,00;62,00;0,00;55,11;34,44;0,00;20,67
2019-07-28;28,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,33;9,33;0,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,20;0,00;8,40;25,20;0,00;0,00;49,78;9,33;18,67;9,33;74,67;0,00;0,00;35,00;0,00;42,00
2019-08-04;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;27,00;0,00;18,00;9,00;18,00;0,00;9,00;0,00;9,00;0,00;63,00;0,00;45,00;63,00;0,00;27,00
2019-08-11;8,00;0,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;8,00;8,00;0,00;8,00;0,00;8,00;0,00;0,00;16,00;16,00;0,00;29,33;0,00;20,00;8,00;88,00;8,00;32,00;16,00;0,00;32,00
2019-08-18;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,44;34,00;0,00;0,00;0,00;9,00;17,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;25,50;0,00;8,50;8,50;8,50;0,00;31,17;17,00;19,43;19,43;34,00;0,00;40,80;40,80;0,00;34,00
2019-08-25;43,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;9,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;61,43;18,43;19,11;9,56;90,78;0,00;35,83;35,83;7,17;35,83
2019-09-01;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,11;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;16,00;0,00;16,00;35,20;25,60;0,00;70,40;0,00;16,00;0,00;85,33;0,00;88,00;16,00;0,00;56,00
